authors,dates,statements,sources,targets,FinalTarget,BinaryTarget
Amy Sherman,"March 20, 2026",“9% of American citizens don't have the identification that the SAVE act requires to vote. Almost 1 in 10.”,Tammy Duckworth,mostly-true,Real,1
Amy Sherman,"March 20, 2026",“You can't shovel snow in New York City without an ID.”,Katie Britt,barely-true,Fake,0
Zoe Weyand,"March 20, 2026","“In the modern era, no American president has ordered more military strikes against as many different countries as Donald Trump.”",Elizabeth Warren,true,Real,1
Louis Jacobson,"March 19, 2026","The SAVE America Act “would force Americans to register (to vote) only in person, something only 5% of Americans do today.""",Charles Schumer,half-true,Real,1
Samantha Putterman,"March 19, 2026",Florida school districts are the “biggest” drivers of increased property taxes.,Byron Donalds,barely-true,Fake,0
Grace Abels,"March 16, 2026",Video shows toddler crying over casket of American service member killed in Iran.,Social Media,false,Fake,0
Loreben Tuquero,"March 13, 2026",An AI video is proof that Israeli Prime Minister Benjamin Netanyahu is dead.,Social Media,pants-fire,Fake,0
Louis Jacobson,"March 13, 2026",The U.S. produces “more oil than we can consume. We’re a net oil exporter.”,Chris Wright,half-true,Real,1
Maria Briceño,"March 12, 2026",El líder de Corea del Norte Kim Jong Un dijo que “ningún Dios podrá proteger a Estados Unidos de nuestras nuevas armas”.,TikTok posts,false,Fake,0
Maria Briceño,"March 11, 2026","""BREAKING: So the Israeli media reports Itamar Ben‑Gvir died in a 'car crash,' while in fact he’s been obliterated by an Iranian missile strike on his home.""",X posts,false,Fake,0
Louis Jacobson,"March 10, 2026",Iran “also has some Tomahawks.”,Donald Trump,false,Fake,0
Maria Briceño,"March 9, 2026","El Presidente de El Salvador Nayib Bukele dijo, “con las guerras que ha empezado Donald Trump les pido a todos los inmigrantes en Estados Unidos que piensen en salir de ese país”.",TikTok posts,pants-fire,Fake,0
Maria Ramirez,"• March 6,",“El régimen de Irán ha confesado que (el Cuerpo de la Guardia Revolucionaria Islámica) bombardeó por error… una escuela iraní” el 28 de febrero.,X posts,false,Fake,0
Zoe Weyand,"March 6, 2026",Iran released a list of U.S. cities it will target.,Social Media,false,Fake,0
Samantha Putterman,"March 5, 2026","The Biden administration ""reversed"" a policy of deporting people in the country illegally who have committed felonies.",Ashley Moody,false,Fake,0
Louis Jacobson,"March 5, 2026",The 2015 Iran nuclear agreement “gave (Iran) the right to have top-of-the-line nuclear weapons.”,Donald Trump,false,Fake,0
Samantha Putterman,"March 4, 2026","Artificial intelligence data centers ""drive up electric bills by 30 or 40%"" and ""suck up 500,000 gallons of water a day.”",James Fishback,half-true,Real,1
Zoe Weyand,"March 4, 2026","Video shows a US air base in Riyadh, Saudi Arabia, being destroyed by Iran.",X posts,false,Fake,0
Amy Sherman,"March 3, 2026",On the US seeking regime change,Donald Trump,full-flop,Fake,0
Paul Specht,"March 3, 2026","NC state Sen. Phil Berger, R-Rockingham, “killed a bill banning sex-change surgeries for minors.”",Guilford-Rockingham Alliance,barely-true,Fake,0
Louis Jacobson,"March 2, 2026","“There is no history … that shows an air campaign alone will result in positive regime change. In fact, there's not a single example of it in the entirety of American history.”",Chris Murphy,mostly-true,Real,1
Maria Ramirez,"• March 2,",“The regime in Iran has now confessed that the (Islamic Revolutionary Guard Corps) mistakenly bombed an Iranian school yesterday.”,X posts,false,Fake,0
Maria Briceño,"March 2, 2026","“Israeli shooter opened fire inside an Austin (Texas) bar” on March 1, 2026.",X posts,false,Fake,0
Loreben Tuquero,"March 2, 2026",Videos show Iranian missiles struck and damaged the USS Abraham Lincoln aircraft carrier.,Social Media,pants-fire,Fake,0
Maria Briceño,"February 27, 2026","U.S. men’s hockey Olympian Brady Tkachuk said about the Canadian hockey team, “They booed our national anthem, so I had to come out and teach those maple syrup eating f----s a lesson.”",Donald Trump,pants-fire,Fake,0
George Headley,"February 27, 2026",An Instagram video shows a New York City man sculpting a car out of snow.,Instagram posts,false,Fake,0
Maria Briceño,"February 26, 2026",An audio clip reveals a Jeffrey Epstein victim’s account of abuse by the Clintons.,Social Media,pants-fire,Fake,0
Loreben Tuquero,"February 25, 2026","President Donald Trump’s tariff policies “have forced American families to pay more than $1,700 each in tariff costs” since last year.",Abigail Spanberger,mostly-true,Real,1
Paul Specht,"February 25, 2026",Says Sam Page “got busted calling Trump’s (immigration) plan unrealistic.”,NC True Conservatives PAC,false,Fake,0
Chris Doody,"February 25, 2026",“Nearly 27% of all homes sold in the first quarter of 2025 were bought by investors.”,Josh Riley,half-true,Real,1
Maria Briceño,"February 23, 2026","Imagen muestra a Puerto Vallarta, México, después de la muerte de Nemesio “El Mencho” Oseguera Cervantes, el líder del Cártel Jalisco Nueva Generación.",Social Media,false,Fake,0
Maria Ramirez,"• February 23,","After U.S. vessel strikes in the Caribbean Sea and Pacific Ocean, “drugs entering our country by sea are down 97%.”",Donald Trump,false,Fake,0
Maria Briceño,"February 23, 2026","Image shows Puerto Vallarta, Mexico, after the killing of Nemesio “El Mencho” Oseguera Cervantes, the head of Jalisco New Generation Cartel.",Social Media,false,Fake,0
Grace Abels,"February 19, 2026",Says “90% of health care spending treats chronic disease.”,Robert F. Kennedy Jr.,false,Fake,0
Jill Terreri,"• February 17,",New York ranks No. 1 in the nation for individual tax burden.,Bruce Blakeman,mostly-true,Real,1
Loreben Tuquero,"February 16, 2026",The Epstein files “expose Ellen DeGeneres” as a cannibal.,Social Media,pants-fire,Fake,0
Maria Briceño,"February 16, 2026","Savannah Guthrie's husband’s company is listed as a ""co conspirator"" in the Epstein files, “in case you're wondering why now of all times for (her) mother to be 'kidnapped.'""",X posts,false,Fake,0
Amy Sherman,"February 13, 2026","Crime in Minneapolis “is down 25, 30% because we’ve removed thousands of criminals from the area.”",Donald Trump,barely-true,Fake,0
Brooke Johnpier,"February 13, 2026",“New Yorkers pay 49% more than the national average for electricity.”,Tom O'Mara,mostly-true,Real,1
Andrew McGurl,"February 13, 2026",Said she has led the House effort to build a large Micron semiconductor facility near Syracuse.,Claudia Tenney,half-true,Real,1
Louis Jacobson,"February 12, 2026","""The crime rate now is the lowest it's been since 1900. That's 125 years.""",Donald Trump,half-true,Real,1
Samantha Putterman,"February 9, 2026","“Durante su presentación en el Super Bowl, Bad Bunny le regaló su premio Grammy a Liam Conejo Ramos”, el niño de 5 años que fue detenido por ICE.",Social Media,false,Fake,0
Loreben Tuquero,"February 9, 2026",An image shows Bad Bunny wearing a dress and burning the U.S. flag.,Social Media,pants-fire,Fake,0
Louis Jacobson,"February 9, 2026",“We right now have more factories and plants being built in our country than we've ever had before.”,Donald Trump,half-true,Real,1
Samantha Putterman,"February 9, 2026","During the Super Bowl halftime show, “Bad Bunny brought Liam Conejo Ramos onto the stage,” the 5-year-old detained by Immigration and Customs Enforcement in Minneapolis.",Social Media,false,Fake,0
Loreben Tuquero,"February 6, 2026","An image shows Jeffrey Epstein “still alive and walking the streets of Tel Aviv,” Israel.",Social Media,pants-fire,Fake,0
Amy Sherman,"February 6, 2026","Under Michigan Gov. Gretchen Whitmer, there are “fewer families living in poverty” than under her predecessor.",Gretchen Whitmer,half-true,Real,1
Louis Jacobson,"February 2, 2026","Among Somalis in Minnesota, “92% of them don’t work.”",Donald Trump,pants-fire,Fake,0
Maria Briceño,"February 2, 2026","Images show New York City Mayor Zohran Mamdani as a child with his mother, Mira Nair, and Jeffrey Epstein.",X posts,pants-fire,Fake,0
Loreben Tuquero,"January 29, 2026","In artificial intelligence, “We're leading China by a lot.”",Donald Trump,half-true,Real,1
Samantha Putterman,"January 28, 2026",The Federal Emergency Management Agency’s “backlog of unanswered disaster assistance applications has exploded to the largest in its history.”,Jared Moskowitz,mostly-true,Real,1
Amy Sherman,"January 28, 2026","""Right now we're focused on Minneapolis because that's where we have the highest concentration of people who have violated our immigration laws.""",JD Vance,false,Fake,0
Maria Briceño,"January 27, 2026","An image shows Alex Pretti holding a gun, not a phone, while pinned by federal immigration agents in Minneapolis.",X posts,false,Fake,0
Louis Jacobson,"January 27, 2026",“You cannot bring a firearm loaded with multiple magazines to any sort of protest that you want. It’s that simple.”,Kash Patel,barely-true,Fake,0
Maria Briceño,"January 26, 2026",Protesters against the federal immigration crackdown in Minnesota are conducting “fake protests done by agitators and professional insurrectionists. …They're professional troublemakers.”,Donald Trump,false,Fake,0
Madison Czopek,"January 26, 2026",Trees can explode if temperatures drop to 20 degrees below zero.,Social Media,barely-true,Fake,0
Loreben Tuquero,"January 26, 2026",Evan Kilgore is one of the Border Patrol agents who shot Alex Pretti in Minneapolis.,Social Media,pants-fire,Fake,0
Maria Briceño,"January 26, 2026","Donald Trump posted on Truth Social, “Only criminals carry guns on our streets, we need law and order.”",Social Media,pants-fire,Fake,0
Paul Specht,"January 23, 2026","“Trump’s $2,000 tariff dividend is live but you must act.”",Major Gross Profit,false,Fake,0
Maria Briceño,"January 21, 2026","Video showing a vacant lot at a Venice, California, address where 26 voters were registered exposes voter fraud.",Benny Johnson,false,Fake,0
Grace Abels,"January 15, 2026",The former U.S. childhood vaccine schedule called for babies to get “72 injections.”,Donald Trump,false,Fake,0
Madison Czopek,"January 15, 2026",“No están recibiendo el entrenamiento tradicional de cinco meses… .El entrenamiento para los agentes de ICE ahora es de 47 días”.,Mark Warner,mostly-true,Real,1
Amy Sherman,"January 15, 2026",A letter sent to postal service employees about working during emergencies such as civil unrest is a sign that President Donald Trump will impose martial law.,Social Media,false,Fake,0
Amy Sherman,"January 14, 2026","“By federal law, if you sign someone up for Medicaid, you also give them the right to vote. … This is political patronage at the expense of Medicaid.”",Mehmet Oz,false,Fake,0
Louis Jacobson,"January 13, 2026","""If we stop this fraud, this massive fraud, we're going to have a balanced budget.""",Donald Trump,false,Fake,0
Loreben Tuquero,"January 12, 2026",A document shows Minnesota shooting victim Renee Good had a record of child abuse.,Social Media,false,Fake,0
Louis Jacobson,"January 12, 2026",Credit card companies would be “in violation of the law” if they don’t cap interest rates at 10% by Jan. 20.,Donald Trump,false,Fake,0
Madison Czopek,"January 12, 2026",“They are not getting the traditional five months training. … The training for the ICE agents now is 47 days.”,Mark Warner,mostly-true,Real,1
Loreben Tuquero,"January 8, 2026",Images of an unmasked man show the immigration officer who shot a woman in Minneapolis.,Social Media,pants-fire,Fake,0
Maria Briceño,"January 8, 2026",Viral photo shows the woman killed by an ICE agent Jan. 7 in Minneapolis.,Social Media,false,Fake,0
Amy Sherman,"January 8, 2026","The Justice Department has been investigating fraud in Minnesota “for months. So far, we have charged 98 individuals.”",Pam Bondi,half-true,Real,1
Maria Ramirez,"• January 7,",Maduro was “flooding America with deadly fentanyl.”,Donald Trump,false,Fake,0
Samantha Putterman,"January 7, 2026",Venezuelan leader Nicolás Maduro “was releasing people from his prisons and sending them to our southern border under the Biden administration.”,Ron DeSantis,false,Fake,0
Maria Briceño,"January 6, 2026","Video shows “leaked Donald Trump audio about the Epstein files and Venezuela.""",Facebook posts,false,Fake,0
Madison Czopek,"January 6, 2026",Gov. Tim Walz had Democratic lawmaker Melissa Hortman killed.,Donald Trump,false,Fake,0
Maria Briceño,"January 5, 2026",Video shows “millions of Venezuelans flooded the streets of Caracas” to celebrate Nicolás Maduro’s capture.,Alex Jones,false,Fake,0
Loreben Tuquero,"January 5, 2026",Images and videos show aftermath of Venezuelan President Nicolás Maduro’s capture.,Social Media,pants-fire,Fake,0
Jeff Cercone,"December 19, 2025",Brown University student Mustapha Karbouch was a suspect in school shooting.,Social Media,false,Fake,0
Maria Briceño,"December 19, 2025",Images from Jeffrey Epstein “archives” show President Donald Trump and Epstein with young women.,X posts,pants-fire,Fake,0
Maria Briceño,"December 17, 2025",Image shows Rob Reiner tweeted in 2023 that he would stop posting until “Trump goes to prison.”,Laura Loomer,false,Fake,0
Jill Terreri,"• December 11,",Gov. Kathy Hochul has raised taxes.,Elise Stefanik,half-true,Real,1
Louis Jacobson,"December 9, 2025",The U.S. has received promises of investments totaling $18 trillion to $22 trillion since January.,Donald Trump,false,Fake,0
Amy Sherman,"December 5, 2025",“I take responsibility for putting people in jail” in Minnesota fraud scandal.,Tim Walz,false,Fake,0
Maria Briceño,"December 4, 2025",Video muestra noticia de “última hora” en el que el presidente venezolano Nicolás Maduro se “rindió públicamente” ante el presidente Donald Trump.,Donald Trump,pants-fire,Fake,0
Louis Jacobson,"December 4, 2025","Any pardon signed with an autopen is now ""fully and completely terminated, and is of no legal effect.""",Donald Trump,false,Fake,0
Paul Specht,"December 4, 2025",A new North Carolina law “prohibits the use of wireless communication devices while driving.”,Facebook posts,false,Fake,0
Maria Briceño,"December 3, 2025","Video shows “breaking” news that Venezuelan President Nicolás Maduro ""publicly surrendered"" to President Donald Trump.",Donald Trump,pants-fire,Fake,0
Paul Specht,"November 26, 2025","“This Thanksgiving, turkey prices are at their lowest point since 2000.”",Richard Hudson,false,Fake,0
Madison Czopek,"November 26, 2025","The Trump administration removed nursing from the list of professional degree programs, affecting aspiring nurses’ student loan access.",Social Media,half-true,Real,1
Louis Jacobson,"November 24, 2025",“I have just gotten the highest poll numbers of my ‘political career.’”,Donald Trump,false,Fake,0
Paul Specht,"November 24, 2025","“There’s about 1,400 criminal illegal aliens that, right now, are in North Carolina and Charlotte’s jails that they refuse to turn over to ICE law enforcement.”",Tricia McLaughlin,false,Fake,0
Trent Ao,"November 21, 2025",West Virginia is “the only state losing population.”,Kayla Young,false,Fake,0
Maria Briceño,"November 21, 2025",A pro-Donald Trump Montana town planned a “pedophile bonfire” in a park for burning Trump flags and MAGA hats.,X posts,pants-fire,Fake,0
Madison Czopek,"November 20, 2025",“We’re not cutting science. We’re not cutting research.”,Robert F. Kennedy Jr.,pants-fire,Fake,0
Samantha Putterman,"November 20, 2025",Housing is expensive “because we flooded the country with 30 million illegal immigrants” and because of a housing shortage.,JD Vance,barely-true,Fake,0
Louis Jacobson,"November 19, 2025","Stock prices for health insurance companies are “up over 1,000% over a short period of time.”",Donald Trump,half-true,Real,1
Madison Czopek,"November 17, 2025",Video shows President Donald Trump patting President Bill Clinton’s crotch.,TikTok posts,false,Fake,0
Samantha Putterman,"November 14, 2025",“Evidence suggests that 1 in 25 women who consume (abortion) pills are hospitalized.”,James Uthmeier,barely-true,Fake,0
Louis Jacobson,"November 14, 2025",“My tariffs … are helping to slash the deficit this year by more than 25%.”,Donald Trump,false,Fake,0
Louis Jacobson,"November 14, 2025",Walmart’s 2025 package of Thanksgiving dinner ingredients shows a “25% reduction in costs for Thanksgiving between (President Joe) Biden and me.”,Donald Trump,barely-true,Fake,0
Loreben Tuquero,"November 10, 2025",“DOGE halts yearly payment of $2.5 million to Barack Obama for ‘royalties linked to Obamacare.’”,Donald Trump,pants-fire,Fake,0
Paul Specht,"November 8, 2025",“North Carolina teachers are already the lowest paid teachers in the south.”,Anderson Clayton,barely-true,Fake,0
Maria Briceño,"November 7, 2025",“RFK Jr. flees the scene after Novo Nordisk Executive Gordon Findlay collapsed in the Oval Office.”,X posts,false,Fake,0
Louis Jacobson,"November 7, 2025",New York City Mayor-elect Zohran Mamdani “is bringing Sharia law to America.”,Nancy Mace,pants-fire,Fake,0
Grace Abels,"November 5, 2025",Voting in California is “rigged.”,Donald Trump,pants-fire,Fake,0
Maria Briceño,"November 4, 2025","New York state has ""no ID requirement"" to vote, and people could lie about their address and ""vote in multiple precincts.""",X posts,barely-true,Fake,0
Louis Jacobson,"November 4, 2025",“The New York City ballot form is a scam” because “mayoral candidates appear twice.”,Elon Musk,false,Fake,0
Amy Sherman,"November 3, 2025","The federal government “decided to shut down the SNAP machines, so that they can’t be used.”",JB Pritzker,false,Fake,0
Loreben Tuquero,"November 3, 2025",The majority of Supplemental Nutrition Assistance Program recipients are not U.S. citizens.,X posts,false,Fake,0
Nick Karmia,"October 31, 2025",“No American citizens have been arrested or detained” during the Trump administration’s immigration crackdowns.,Kristi Noem,pants-fire,Fake,0
Samantha Putterman,"October 30, 2025","In Florida, “68 to 70% of property tax revenue” is from “second homes, investment properties, commercial properties, Airbnb,” not primary residences.",Ron DeSantis,mostly-true,Real,1
Maria Ramirez,"• October 29,","“To all ICE officers, you have federal immunity in the conduct of your duties.”",Stephen Miller,barely-true,Fake,0
Loreben Tuquero,"October 29, 2025",Walmart will close to in-store shoppers and allow only online orders and curbside pickup starting Nov. 1 because of an expected Supplemental Nutrition Assistance Program funding lapse.,Social Media,pants-fire,Fake,0
Louis Jacobson,"October 29, 2025","""Overall, the inflation since President Trump” took office “has come down.""",Scott Bessent,half-true,Real,1
Maria Briceño,"October 27, 2025","Video shows Hurricane Melissa hitting Jamaica on Oct. 26, 2025.",X posts,false,Fake,0
Louis Jacobson,"October 24, 2025","An ad from the government of Ontario, Canada, “misrepresents” President Ronald Reagan’s April 25, 1987, address about tariffs.",The Ronald Reagan Presidential Foundation and Institute,barely-true,Fake,0
Louis Jacobson,"October 24, 2025","“The Trump administration just declared that erecting a ballroom is the president’s main priority,” rather than issues such as the cost of living and health care.",Hakeem Jeffries,false,Fake,0
Maria Ramirez,"• October 23,","Con respecto a los ataques contra las embarcaciones en las costas de Venezuela, “por cada barco que destruimos, salvamos 25,000 vidas estadounidenses”.",Donald Trump,pants-fire,Fake,0
Grace Abels,"October 22, 2025",A new White House ballroom “won't interfere with the current building.”,Donald Trump,full-flop,Fake,0
Samantha Putterman,"October 22, 2025","“About 25% of the time the Coast Guard boards a ship, there are no drugs.”",Rand Paul,mostly-true,Real,1
Maria Ramirez,"• October 22,","“Fifty percent of the presidents, almost, have used (the Insurrection Act). And that's unquestioned power.”",Donald Trump,barely-true,Fake,0
Amy Sherman,"October 20, 2025","""Political violence, it's just a statistical fact that it's a bigger problem on the left.”",JD Vance,barely-true,Fake,0
Maria Briceño,"October 20, 2025",Video shows “No Kings” protest in the United Kingdom.,X posts,pants-fire,Fake,0
Louis Jacobson,"October 20, 2025",Democrats are “dishonestly sending around a video from 2017” claiming it was an Oct. 18 ‘No Kings’ rally in Boston.,Ted Cruz,false,Fake,0
Samantha Putterman,"October 20, 2025",Florida will be the “hardest hit” state in the country if enhanced Affordable Care Act subsidies expire.,Darren Soto,mostly-true,Real,1
Louis Jacobson,"October 17, 2025","“We’ve never had a president that solved one war, not one war.”",Donald Trump,pants-fire,Fake,0
Maria Ramirez,"• October 16,","Regarding boat strikes off the coast of Venezuela, “Every boat that we knock out we save 25,000 American lives.”",Donald Trump,pants-fire,Fake,0
Maria Briceño,"October 16, 2025",Un video muestra un “arresto por robo que la policía de Chicago realizó hace más de un año”.,Tricia McLaughlin,false,Fake,0
Louis Jacobson,"October 16, 2025","As the Trump administration pursues mortgage fraud charges against Letitia James, “there are three Cabinet members who committed mortgage fraud that he’s just letting fly.”",Dan Koh,barely-true,Fake,0
Amy Sherman,"October 16, 2025","“Trump’s budget called for a $300 (million) cut” to the Women, Infants and Children program.",James Clyburn,true,Real,1
Natalie Ribar,"October 15, 2025",“Vaccine makers are exempt from all liability for vaccine injury and death.”,West Virginians For Health Freedom,barely-true,Fake,0
Maria Briceño,"October 15, 2025",A video shows a “burglary arrest Chicago Police made over a year ago.”,Tricia McLaughlin,false,Fake,0
Maria Ramirez,"• October 14,","“If you vote no on Prop 50 to stop the redistricting, it shows through the envelope,” making it easy for Democrats to cheat.",X posts,barely-true,Fake,0
Arielle Zionts,"October 13, 2025",“It's going to be the biggest infusion of federal dollars into rural health care in American history.”,Robert F. Kennedy Jr.,barely-true,Fake,0
Maria Briceño,"October 9, 2025","“El CEO de Coca-Cola, James Quincey, lanzó un ultimátum contundente: cancelen la actuación de Bad Bunny en el Super Bowl o la marca terminará su patrocinio del evento.”",Instagram posts,pants-fire,Fake,0
Maria Ramirez,"• October 9,","“As a condition for ending the Democrat shutdown, Democrats want hospitals (to be) paid MORE to treat illegal aliens than American citizens.”",Mike Johnson,false,Fake,0
Louis Jacobson,"October 9, 2025",“The FBI tapped my phone” and those of other senators.,Josh Hawley,barely-true,Fake,0
Maria Briceño,"October 9, 2025",“Coca-Cola CEO drops bombshell ultimatum to NFL — pull Bad Bunny from Super Bowl halftime or lose our $100 (million) sponsorship!”,X posts,pants-fire,Fake,0
Samantha Putterman,"October 8, 2025",Democrats shut down the government because they want “health care for illegal aliens and funding for free abortions.”,Rick Scott,false,Fake,0
Maria Briceño,"October 7, 2025",“Portland is burning to the ground.”,Donald Trump,false,Fake,0
Maria Ramirez,"• October 2,",“Los demócratas están amenazando con cerrar todo el gobierno porque quieren dar cientos de miles de millones de dólares en beneficios de cuidado de salud a los inmigrantes ilegales”.,JD Vance,false,Fake,0
Maria Briceño,"October 2, 2025","Thirty percent of U.S. medical residents are international medical graduates, and 10,000 of 43,000 residency spots are filled by H-1B visa holders.",X posts,half-true,Real,1
Louis Jacobson,"October 2, 2025",“You never heard Biden say” the U.S. has “the strongest military anywhere in the world.”,Donald Trump,pants-fire,Fake,0
Maria Ramirez,"• October 1,",“Democrats are threatening to shut down the entire government because they want to give hundreds of billions of dollars of health care benefits to illegal aliens.”,JD Vance,false,Fake,0
Samantha Putterman,"September 30, 2025","On Jan. 6, 2021, 274 FBI agents were “probably acting as agitators and insurrectionists, but certainly not as ‘law enforcement officials.’”",Donald Trump,pants-fire,Fake,0
Louis Jacobson,"September 30, 2025","People with insurance through the Affordable Care Act will see a “75% increase in premiums starting Nov. 1” if enhanced subsidies are not extended, including “twice as much in the rural areas.”",Amy Klobuchar,mostly-true,Real,1
Amy Sherman,"September 30, 2025","“If the government shuts down, members of Congress still get paid. The janitors never get paid.”",Dan Koh,mostly-true,Real,1
Louis Jacobson,"September 29, 2025","""Republicans have effectively ended medical research in the United States of America.""",Hakeem Jeffries,barely-true,Fake,0
Jill Terreri,"• September 27,","During Gov. Hochul’s tenure, there has been “more crime on our streets.”",Robert Ortt,mostly-true,Real,1
Grace Abels,"September 26, 2025","Small children are given ""80 different vaccines.""",Donald Trump,false,Fake,0
Madison Czopek,"September 26, 2025",“Erika Kirk is banned from Romania because her Evangelical group was accused of trafficking children out of Romanian villages.”,X posts,false,Fake,0
Louis Jacobson,"September 24, 2025",The U.S. currently has “no inflation.”,Donald Trump,false,Fake,0
Louis Jacobson,"September 23, 2025",“I have ended seven unendable wars.”,Donald Trump,barely-true,Fake,0
Madison Czopek,"September 23, 2025",“There's no downside” to avoiding Tylenol or acetaminophen use while pregnant.,Donald Trump,pants-fire,Fake,0
Madison Czopek,"September 18, 2025","There was not “a single, prominent conservative voice in the country that even remotely wanted or hoped or was pushing to get Jimmy Kimmel taken off the air.”",Sean Hannity,false,Fake,0
Loreben Tuquero,"September 17, 2025",Former President Barack Obama eliminated a law that “held news corporations accountable for lying to the American people.”,Social Media,false,Fake,0
Louis Jacobson,"September 17, 2025",“Republicans are spiking health insurance premiums by 75% for everyday Americans” if they don’t extend enhanced Affordable Care Act subsidies.,Katherine Clark,mostly-true,Real,1
Paul Specht,"September 16, 2025",“North Carolina has just approved a law permitting foreign doctors to practice without completing U.S. training or licensing exams.”,X posts,barely-true,Fake,0
Will Doran,"September 12, 2025",Former North Carolina Gov. Roy Cooper “bears direct responsibility” for the fatal stabbing of a woman on the Charlotte rail system.,Michael Whatley,false,Fake,0
Samantha Putterman,"September 12, 2025",A book on Amazon titled “The Shooting of Charlie Kirk” with a Sept. 9 publication date is evidence the event was staged.,X posts,false,Fake,0
Louis Jacobson,"September 9, 2025","“Wind and solar energy infrastructure is essentially worthless when it is dark outside, and when the wind is not blowing.”",U.S. Energy Department,false,Fake,0
Maria Briceño,"September 8, 2025",Video shows Chicago salt trucks were used “to slow traffic and block access points in response to an incoming ICE operation.”,TikTok posts,false,Fake,0
Maria Ramirez,"• September 5,",Las cifras de la Oficina de Estadísticas Laborales de EE.UU. muestran que “tenemos 1.6 millones de inmigrantes ilegales que han regresado a su país de origen voluntariamente”.,Kristi Noem,half-true,Real,1
Louis Jacobson,"September 5, 2025",“Groceries are down. Energy is way down. ... Was $4 and $5 for a gallon of gas.”,Donald Trump,half-true,Real,1
Louis Jacobson,"September 5, 2025",“The average American worker has already seen a $500 wage increase this year.”,Donald Trump,half-true,Real,1
Grace Abels,"September 4, 2025",“Everybody can get” the COVID-19 vaccine.,Robert F. Kennedy Jr.,barely-true,Fake,0
Samantha Putterman,"September 4, 2025",Every school vaccine mandate “drips” with “slavery.”,Joseph Ladapo,pants-fire,Fake,0
Maria Ramirez,"• September 2,","U.S. Bureau of Labor Statistics statistics show, “We have 1.6 million illegal aliens that have gone home voluntarily.”",Kristi Noem,half-true,Real,1
Maria Briceño,"September 2, 2025",President Donald Trump’s “official schedule was suddenly suspended.”,X posts,false,Fake,0
Samantha Putterman,"September 2, 2025",The U.S. Census included a citizenship question “for over 150 years” before the Obama administration.,James Uthmeier,false,Fake,0
